geonameid,sciiname,countrycode,fclass,fcode,latitude,longitude,moddate,name,population
4365278,Perrywood Elementary School,US,S,SCH,38.87733,-76.7808,,Perrywood Elementary School,0
4359224,Island Point,US,T,CAPE,39.09678,-76.2019,,Island Point,0
4362240,Merkle Wildlife Management Area,US,L,PRK,38.73623,-76.70413,,Merkle Wildlife Management Area,0
4356619,Granite Knoll Farms,US,P,PPL,39.62567,-76.12828,,Granite Knoll Farms,0
4357697,Hazen,US,P,PPL,39.72036,-78.68113,,Hazen,0
4356339,Gnegy Church,US,S,CH,39.27649,-79.48644,,Gnegy Church,0
4359820,Kenwood,US,P,PPL,38.97094,-77.10526,,Kenwood,0
4360933,Loch Haven Beach,US,P,PPL,38.92428,-76.52274,,Loch Haven Beach,0
4362225,Memorial Hospital of Easton,US,S,HSP,38.76946,-76.07679,,Memorial Hospital of Easton,0
4360628,Lewisdale,US,P,PPL,39.28622,-77.2611,,Lewisdale,0
4357772,Henderson United Methodist Church,US,S,CH,39.07622,-75.76799,,Henderson United Methodist Church,0
4361365,Lusby,US,P,PPL,38.41068,-76.45523,,Lusby,1835
4365201,Penwick Village,US,P,PPL,38.72012,-76.65802,,Penwick Village,0
4364993,Pasadena Elementary School,US,S,SCH,39.10902,-76.56915,,Pasadena Elementary School,0
4362167,Mears Cove,US,H,BAY,38.38096,-76.49106,,Mears Cove,0
4365161,Pemberton Little League Park,US,L,PRK,38.35901,-75.62965,,Pemberton Little League Park,0
4358953,Indian Springs Wildlife Demonstration Area,US,L,PRK,39.70398,-77.99611,,Indian Springs Wildlife Demonstration Area,0
4361376,Holy Comforter Lutheran Church,US,S,CH,39.35724,-76.60958,,Holy Comforter Lutheran Church,0
4360312,Langley Hollow,US,H,LK,38.14576,-76.43383,,Langley Hollow,0
4363654,New Market,US,P,PPL,39.3826,-77.26943,,New Market,656
4357214,Halpine Village,US,P,PPL,39.06261,-77.11942,,Halpine Village,0
4363992,North Potomac Vista,US,P,PPL,38.78845,-77.01025,,North Potomac Vista,0
4364530,Olivet Church,US,S,CH,39.33844,-75.87716,,Olivet Church,0
4362666,Monocacy Church,US,S,CH,39.17983,-77.41471,,Monocacy Church,0
4360087,Krafts Creek,US,H,STM,38.54789,-75.7741,,Krafts Creek,0
4365159,Pell Gardens Park,US,L,PRK,39.52706,-75.81188,,Pell Gardens Park,0
4364357,Oheb Shalom Cemetery,US,S,CMTY,39.45066,-76.8347,,Oheb Shalom Cemetery,0
4357766,Henderson Corner,US,P,PPL,39.20205,-77.24554,,Henderson Corner,0
4355922,Gardenville Elementary School,US,S,SCH,39.33819,-76.55193,,Gardenville Elementary School,0
4359963,Kingsley,US,P,PPL,39.26483,-77.2786,,Kingsley,0
4359345,Jane Addams Vocational School,US,S,SCH,39.31538,-76.61719,,Jane Addams Vocational School,0
4359709,Kelly Branch,US,H,STM,39.43622,-76.57886,,Kelly Branch,0
4356630,Grapevine Cove,US,H,BAY,38.89928,-76.16523,,Grapevine Cove,0
4360751,Little Aberdeen Creek,US,H,BAY,38.94706,-76.52718,,Little Aberdeen Creek,0
4362210,Melton Point,US,T,CAPE,39.13817,-76.07467,,Melton Point,0
4363228,Mount Zion Methodist Church,US,S,CH,39.1065,-76.81747,,Mount Zion Methodist Church,0
4357593,Hassengers Corner,US,P,PPL,39.26594,-76.04717,,Hassengers Corner,0
4360968,Lock 24,US,S,DAM,39.06872,-77.34026,,Lock 24,0
4362904,Mount Bethel United Methodist Church,US,S,CH,39.61982,-77.51277,,Mount Bethel United Methodist Church,0
4364869,Park Hall School,US,S,SCH,38.22346,-76.4519,,Park Hall School,0
4363398,Municipal Stadium,US,S,STDM,39.63287,-77.71222,,Municipal Stadium,0
4356352,Golden Hill,US,P,PPL,38.4029,-76.22994,,Golden Hill,0
4359317,James Cemetery,US,S,CMTY,39.18594,-76.07467,,James Cemetery,0
4363975,North Point,US,P,PPL,39.27733,-76.47691,,North Point,0
4360516,Lehigh,US,P,PPL,39.1465,-76.62663,,Lehigh,0
4360222,Lake of the Pines,US,P,PPL,38.96817,-76.64135,,Lake of the Pines,0
4363736,Newport Mill Park,US,L,PRK,39.04011,-77.06859,,Newport Mill Park,0
4360749,Linganore High School,US,S,SCH,39.4329,-77.24755,,Linganore High School,0
4363640,New Hope,US,P,PPL,38.39095,-75.33519,,New Hope,0
4362340,Middle River Baptist Church,US,S,CH,39.34261,-76.44774,,Middle River Baptist Church,0
4362288,Metton Pond,US,H,LK,39.46779,-75.83221,,Metton Pond,0
4355884,Gallant Green Woods,US,P,PPL,38.5854,-76.77469,,Gallant Green Woods,0
4362244,Merrick Cemetery,US,S,CMTY,38.64484,-76.02549,,Merrick Cemetery,0
4361974,Maury Hall,US,S,BLDG,38.984,-76.48607,,Maury Hall,0
4363516,National Institute of Health Animal Farm,US,S,FRM,39.12927,-77.4761,,National Institute of Health Animal Farm,0
4360435,Lawson,US,P,PPL,37.97401,-75.83938,,Lawson,0
4360738,Lisbon Acres,US,P,PPL,39.33872,-77.04387,,Lisbon Acres,0
4357869,Herring Run Park,US,L,PRK,39.32205,-76.55941,,Herring Run Park,0
4365142,Pearre,US,P,PPL,39.63648,-78.32251,,Pearre,0
4360703,Line Ridge,US,P,PPL,38.63206,-76.56607,,Line Ridge,0
4356416,Goody Hill Branch,US,H,STM,38.26262,-75.24325,,Goody Hill Branch,0
4357544,Harry W Nice Memorial Bridge,US,S,BDG,38.36151,-76.99747,,Harry W Nice Memorial Bridge,0
4357883,Hexton Farms Airport,US,S,AIRP,39.37682,-75.90468,,Hexton Farms Airport,0
4355773,Frostburg United Methodist Church,US,S,CH,39.65814,-78.92975,,Frostburg United Methodist Church,0
4361215,Longfields Elementary School,US,S,SCH,38.84456,-76.88053,,Longfields Elementary School,0
